"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"73",0.45,"Rank averaging",1,0,1,55.4443774329733,2.73321059672414,87.5,17.6776695296637,55.0121065375303,3.01333640408795
"72",0.4,"Rank averaging",1,0,1,53.270464389495,5.80758790623087,87.5,17.6776695296637,52.8087167070218,6.12940018558799
"71",0.35,"Rank averaging",1,0,1,49.4243105433412,11.2468708384351,87.5,17.6776695296637,48.910411622276,11.6424361067034
"366",0.4,"Rank averaging",6,0,0,58.3266626459784,6.90707517606202,75,0,58.1034968185146,6.99661037164819
"74",0.5,"Rank averaging",1,0,1,57.2838423159164,0.131814411756907,75,0,57.046004842615,0.136969836549456
"8",0.35,"Rank averaging",0,0,1,56.2804978343111,1.55075778537539,75,0,56.0290556900726,1.5751531203187
"239",0.35,"Rank averaging",4,0,0,54.9953396567794,4.05057933540054,75,0,54.7271805844924,4.10113173389349
"302",0.35,"Rank averaging",5,0,0,54.6641811502824,4.04592706204441,75,0,54.391576102258,4.09635371633943
"176",0.35,"Rank averaging",3,0,0,54.1559296014036,2.39979767286843,75,0,53.8763443887606,2.42802925371675
"365",0.35,"Rank averaging",6,0,0,53.1821920061407,5.19581395990027,75,0,52.8898023537361,5.26139366326879
"449",0.35,"Rank averaging",0,1,1,70.7368825045233,5.91071329895833,62.5,17.6776695296637,70.849710006194,6.22894221796405
"242",0.5,"Rank averaging",4,0,0,70.3794067657218,2.15943021613525,62.5,17.6776695296637,70.4870769750549,2.42723291745774
"53",0.5,"Rank averaging",1,0,0,52.0379406765722,7.287010833479,75,35.3553390593274,51.7337687932879,7.85506085885929
"305",0.5,"Rank averaging",5,0,0,70.3761171116838,1.69110136495187,62.5,17.6776695296637,70.4836984064418,1.9526165070887
"368",0.5,"Rank averaging",6,0,0,68.5662591150831,3.30466484063497,62.5,17.6776695296637,68.6496987442987,3.58749484683304
"408",0.4,"Rank averaging",6,0,2,68.0645868742804,2.59519315382573,62.5,17.6776695296637,68.1412241680275,2.86840320494841
"178",0.45,"Rank averaging",3,0,0,66.0743461812599,2.09895066250561,62.5,17.6776695296637,66.1242187060082,2.36511868925508
"304",0.45,"Rank averaging",5,0,0,65.753056636877,3.49928494269958,62.5,17.6776695296637,65.7987499296132,3.78418990280812
"281",0.35,"Rank averaging",4,0,2,65.5693842864192,0.921150124512988,62.5,17.6776695296637,65.6123655611239,1.17141063700141
"241",0.45,"Rank averaging",4,0,0,65.42189813038,3.49463266934346,62.5,17.6776695296637,65.4631454473788,3.77941188525408
"367",0.45,"Rank averaging",6,0,0,64.5923570371183,3.24883756036146,62.5,17.6776695296637,64.6224449574864,3.53015863618443
"115",0.45,"Rank averaging",2,0,0,64.4086846866605,0.67070274217486,62.5,17.6776695296637,64.4360605889971,0.917379370377726
"52",0.45,"Rank averaging",1,0,0,27.7032732057679,31.2958428666609,87.5,17.6776695296637,26.9052311504026,31.9418436850877
"344",0.35,"Rank averaging",5,0,2,64.248039914469,1.37086988227185,62.5,17.6776695296637,64.2733262007996,1.62691497715425
"407",0.35,"Rank averaging",6,0,2,62.9266955425188,1.82058964003072,62.5,17.6776695296637,62.9342868404753,2.08241931730708
"76",0.6,"Rank averaging",1,0,1,61.9661165634081,6.48992133179605,62.5,17.6776695296637,61.9612590799031,6.81424936833525
"75",0.55,"Rank averaging",1,0,1,60.2938757607325,4.12501570909856,62.5,17.6776695296637,60.2663438256659,4.41727722871983
"303",0.4,"Rank averaging",5,0,0,59.9660069082735,4.58869228692581,62.5,17.6776695296637,59.9341179120446,4.88711562153482
"240",0.4,"Rank averaging",4,0,0,59.4676243215089,4.34754945129993,62.5,17.6776695296637,59.4290219043865,4.64264039001923
"51",0.4,"Rank averaging",1,0,0,22.2276440594331,29.579929377143,87.5,17.6776695296637,21.3559322033898,30.2018489591542
"177",0.4,"Rank averaging",3,0,0,58.8053073085147,4.33824490458768,62.5,17.6776695296637,58.7578129399178,4.63308435491113
"114",0.4,"Rank averaging",2,0,0,57.647897362794,4.55612637343292,62.5,17.6776695296637,57.5848865364041,4.85366949865646
"156",0.4,"Rank averaging",2,0,2,73.5007401721586,1.30883957085684,50,0,73.8160932484937,1.32191818995402
"113",0.35,"Rank averaging",2,0,0,54.3330226437853,4.04127478868829,62.5,17.6776695296637,54.2254631454474,4.33127291274693
"50",0.35,"Rank averaging",1,0,0,17.3781457316739,22.7217030713203,87.5,17.6776695296637,16.4406779661017,23.2506297542695
"282",0.4,"Rank averaging",4,0,2,72.3597784966281,1.25068615390526,50,0,72.6600596880455,1.27174900563649
"219",0.4,"Rank averaging",3,0,2,72.0088820659027,1.56393922655109,50,0,72.3041837941326,1.58072747413176
"345",0.4,"Rank averaging",5,0,2,70.3728274576457,1.2227725137685,50,0,70.6464327946393,1.24308090031219
"155",0.35,"Rank averaging",2,0,2,69.0087175832008,4.41578279385645,50,0,69.2634720423447,4.47142809433241
"116",0.5,"Rank averaging",2,0,0,68.8809693513899,0.967672858074243,50,0,69.1345233402782,0.984271616134441
"218",0.35,"Rank averaging",3,0,2,67.3792422830199,0.692413351170113,50,0,67.6124781800777,0.698386899150409
"32",0.5,"Rank averaging",0,0,2,83.1701299413345,8.19265338013823,37.5,17.6776695296637,83.7856861309758,8.54866974045565
"371",0.65,"Rank averaging",6,0,0,82.3109819617304,3.7318986105059,37.5,17.6776695296637,82.9145785235655,4.02786879806471
"77",0.65,"Rank averaging",1,0,1,63.8055814463512,9.09131751676328,50,35.3553390593274,63.9951573849879,9.69061593587375
"513",0.4,"Rank averaging",1,1,1,63.530347058501,17.0482557135244,50,35.3553390593274,63.7169885691762,17.7543168945933
"308",0.65,"Rank averaging",5,0,0,81.3240857503152,4.65459949280426,37.5,17.6776695296637,81.9145222140886,4.96276756614063
"245",0.65,"Rank averaging",4,0,0,80.9995065518943,5.58660492181487,37.5,17.6776695296637,81.5856748690805,5.90722236932463
"31",0.45,"Rank averaging",0,0,2,80.8388617797028,6.28677206191187,37.5,17.6776695296637,81.4229404808829,6.61675797610116
"284",0.5,"Rank averaging",4,0,2,80.330610230824,4.64064267273588,37.5,17.6776695296637,80.9077087673856,4.94843351347847
"347",0.5,"Rank averaging",5,0,2,80.3207412687099,3.23565611918577,37.5,17.6776695296637,80.8975730615463,3.52458428237138
"182",0.65,"Rank averaging",3,0,0,80.0093206864411,6.04097695292986,37.5,17.6776695296637,80.5822399909905,6.36750472703152
"410",0.5,"Rank averaging",6,0,2,79.9862931081748,2.76267499464628,37.5,17.6776695296637,80.5585900106988,3.0451898544483
"30",0.4,"Rank averaging",0,0,2,79.5043587916004,4.86317641493724,37.5,17.6776695296637,80.0703868461062,5.17379667477785
"370",0.6,"Rank averaging",6,0,0,79.3239760951807,2.75337044793402,37.5,17.6776695296637,79.8873810462301,3.03563381934019
"518",0.65,"Rank averaging",1,1,1,79.1699106310653,4.39019529039775,37.5,17.6776695296637,79.7314037952587,4.69440224685477
"517",0.6,"Rank averaging",1,1,1,78.1764351115741,4.37623847032938,37.5,17.6776695296637,78.7245903485557,4.68006819419262
"307",0.6,"Rank averaging",5,0,0,78.0092110313065,4.13974790805963,37.5,17.6776695296637,78.5550988231319,4.44037098023108
"512",0.35,"Rank averaging",1,1,1,59.5169691320796,11.3724822190505,50,35.3553390593274,59.6491919590067,12.0015837595163
"244",0.6,"Rank averaging",4,0,0,77.8485662591151,4.83991504815662,37.5,17.6776695296637,78.3923644349344,5.14990658700761
"497",0.65,"Rank averaging",1,1,0,77.5437249849224,8.58189358426745,37.5,17.6776695296637,78.0837885016048,8.94205985240582
"54",0.55,"Rank averaging",1,0,0,77.5300180930972,16.9397026685482,37.5,17.6776695296637,78.0640801846951,17.3967619142985
"455",0.65,"Rank averaging",0,1,1,77.3567629804266,5.53542991489749,37.5,17.6776695296637,77.8940255645025,5.85466417623008
"29",0.35,"Rank averaging",0,0,2,77.0190251658534,4.59411993917462,37.5,17.6776695296637,77.551663945042,4.90065333793796
"181",0.6,"Rank averaging",3,0,0,77.0124458577773,3.65746223680788,37.5,17.6776695296637,77.5449068078157,3.9514205171999
"118",0.6,"Rank averaging",2,0,0,76.8452217775097,3.42097167453813,37.5,17.6776695296637,77.375415282392,3.71172330323836
"434",0.65,"Rank averaging",0,1,0,76.7174735456988,8.80442732646883,37.5,17.6776695296637,77.2464665803255,9.16742301370521
"433",0.6,"Rank averaging",0,1,0,76.5535391194693,9.03626561538245,37.5,17.6776695296637,77.0803536235148,9.40234221011269
"496",0.6,"Rank averaging",1,1,0,76.3830253851636,8.33144620192933,37.5,17.6776695296637,76.907483529478,8.68802858578212
"432",0.55,"Rank averaging",0,1,0,76.0518668786666,8.32679392857321,37.5,17.6776695296637,76.5718790472437,8.68325056822807
"283",0.45,"Rank averaging",4,0,2,75.8418772959044,2.00202830091963,37.5,17.6776695296637,76.3584661298497,2.27354001946911
"495",0.55,"Rank averaging",1,1,0,75.7174187181315,7.85381280403372,37.5,17.6776695296637,76.2328959963962,8.20385614030499
"454",0.6,"Rank averaging",0,1,1,75.7108394100554,6.91715510166697,37.5,17.6776695296637,76.22613885917,7.25462331956691
"220",0.45,"Rank averaging",3,0,2,75.6680739075607,0.828880036283149,37.5,17.6776695296637,76.1822174671997,1.0846099847695
"516",0.55,"Rank averaging",1,1,1,75.5436153297878,6.68066453939722,37.5,17.6776695296637,76.0566473337463,7.01492610560537
"431",0.5,"Rank averaging",0,1,0,75.3829705575964,7.38083167949422,37.5,17.6776695296637,75.8939129455487,7.7244617123819
"494",0.5,"Rank averaging",1,1,0,75.0485223970612,6.90785055495472,37.5,17.6776695296637,75.5549298947013,7.24506728445882
"346",0.45,"Rank averaging",5,0,2,75.0090465486046,1.28790434075426,37.5,17.6776695296637,75.5143870713441,1.54967036003043
"453",0.55,"Rank averaging",0,1,1,74.7239431986403,7.83985598396533,37.5,17.6776695296637,75.2260825496931,8.18952208764283
"430",0.45,"Rank averaging",0,1,0,74.7173638905642,6.90319828159859,37.5,17.6776695296637,75.2193254124669,7.24028926690477
"452",0.5,"Rank averaging",0,1,1,74.5567191183727,7.60336542169558,37.5,17.6776695296637,75.0565910242694,7.9498248736813
"33",0.55,"Rank averaging",0,0,2,92.5966335873677,6.68609219164603,25,0,93.5047018413199,6.78876660804699
"429",0.4,"Rank averaging",0,1,0,74.2222709578376,7.13038429715609,37.5,17.6776695296637,74.7176079734219,7.47043044575821
"243",0.55,"Rank averaging",4,0,0,74.186084763419,1.978766934139,37.5,17.6776695296637,74.6804437186779,2.24964993169886
"369",0.55,"Rank averaging",6,0,0,74.182795109381,1.51043808295564,37.5,17.6776695296637,74.6770651500647,1.77503352132982
"56",0.65,"Rank averaging",1,0,0,92.4880750041121,8.76875989740519,25,35.3553390593274,93.3898305084746,9.34819134450012
"306",0.55,"Rank averaging",5,0,0,74.0221503371895,2.21060522305263,37.5,17.6776695296637,74.5143307618672,2.48456912810634
"409",0.45,"Rank averaging",6,0,2,74.0122813750754,0.805618669502527,37.5,17.6776695296637,74.5041950560279,1.06071989699925
"428",0.35,"Rank averaging",0,1,0,73.727178025111,7.35757031271359,37.5,17.6776695296637,74.2158905343769,7.70057162461165
"492",0.4,"Rank averaging",1,1,0,73.5632435988815,7.5894086016272,37.5,17.6776695296637,74.0497775775663,7.93549082101914
"451",0.45,"Rank averaging",0,1,1,73.396019518614,7.35291803935745,37.5,17.6776695296637,73.8802860521426,7.6957936070576
"117",0.55,"Rank averaging",2,0,0,73.3532540161193,1.26464297397364,37.5,17.6776695296637,73.8363646601723,1.52578027226018
"491",0.35,"Rank averaging",1,1,0,73.2287954383464,7.1164274770877,37.5,17.6776695296637,73.7107945267188,7.45609639309606
"180",0.55,"Rank averaging",3,0,0,73.0220955096222,1.25999070061752,37.5,17.6776695296637,73.5007601779379,1.52100225470613
"514",0.45,"Rank averaging",1,1,1,72.8976369318493,7.11177520373158,37.5,17.6776695296637,73.3751900444845,7.45131837554201
"450",0.4,"Rank averaging",0,1,1,72.7337025056198,7.3436134926452,37.5,17.6776695296637,73.2090770876738,7.6862375719495
"55",0.6,"Rank averaging",1,0,0,87.973024836888,15.1540050786884,25,35.3553390593274,88.8135593220339,15.8200161214617
"179",0.5,"Rank averaging",3,0,0,69.3694829760404,0.196170859849993,37.5,17.6776695296637,69.7989751675207,0.0445948305044797
"159",0.55,"Rank averaging",2,0,2,86.9241734744229,0.518728479208071,25,35.3553390593274,87.7588828199786,1.01214338519973
"411",0.55,"Rank averaging",6,0,2,84.4487088107901,1.65465855699555,25,0,85.2469170561405,1.68823286909789
"285",0.55,"Rank averaging",4,0,2,84.2946433466747,3.29148339945928,25,35.3553390593274,85.0943183737823,3.82161770698153
"348",0.55,"Rank averaging",5,0,2,83.6290366796425,2.81385000156366,25,35.3553390593274,84.4197308407005,3.33744526150438
"158",0.5,"Rank averaging",2,0,2,81.1700202861999,6.29142433526799,25,35.3553390593274,81.928036488541,6.86123320761675
"221",0.5,"Rank averaging",3,0,2,80.4912550030155,3.94047553263889,25,35.3553390593274,81.2399346810068,4.47859512066349
"119",0.65,"Rank averaging",2,0,0,80.0126103404792,6.50930580411324,25,35.3553390593274,80.7551100850273,7.08181835136209
"157",0.45,"Rank averaging",2,0,2,77.1632216678546,1.55230854316077,25,35.3553390593274,77.8669970155977,2.05773289327781
"287",0.65,"Rank averaging",4,0,2,95.0194637863918,1.94309950507537,12.5,17.6776695296637,96.128723464159,1.71610463816319
"350",0.65,"Rank averaging",5,0,2,94.0259882669006,1.95705632514375,12.5,17.6776695296637,95.1219100174559,1.73043869082536
"413",0.65,"Rank averaging",6,0,2,93.858764186633,2.1935468874135,12.5,17.6776695296637,94.9524184920322,1.97013590478689
"160",0.6,"Rank averaging",2,0,2,93.3538022917923,3.37134742540612,12.5,17.6776695296637,94.4405653471479,3.16384395704055
"223",0.6,"Rank averaging",3,0,2,91.0422720543889,2.46725563653227,12.5,17.6776695296637,92.0980911087336,2.24805725918084
