"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"1123",0.45,"Rank averaging",2,2,0,82.7896266242667,1.16306833903154,51.4285714285714,12.1218305346265,83.4611872146119,1.59502625527925
"1925",0.65,"Rank averaging",6,3,2,93.0522506716377,0.838959961888091,44.2857142857143,22.2233559801486,94.1027397260274,1.55950947631553
"370",0.6,"Rank averaging",6,0,0,92.8948955534843,2.00745595316845,44.2857142857143,22.2233559801486,93.9452054794521,2.75093597064356
"1988",0.65,"Rank averaging",7,3,2,92.8883162454082,1.07079825080172,44.2857142857143,22.2233559801486,93.9360730593607,1.79521173671104
"223",0.6,"Rank averaging",3,0,2,92.875157629256,0.802517153931767,44.2857142857143,22.2233559801486,93.9178082191781,0.11623673115395
"1358",0.65,"Rank averaging",5,2,2,92.7276714732167,1.7709653908987,44.2857142857143,22.2233559801486,93.7739726027397,2.50877611407282
"244",0.6,"Rank averaging",4,0,0,92.5538680848731,0.597817126262218,44.2857142857143,22.2233559801486,93.5936073059361,1.31089202356958
"1820",0.65,"Rank averaging",5,3,0,92.547288776797,0.338840576104529,44.2857142857143,22.2233559801486,93.5844748858447,0.355167789637085
"1186",0.45,"Rank averaging",3,2,0,82.1240199572345,0.685434941135921,51.4285714285714,12.1218305346265,82.7808219178082,1.10424894596255
"180",0.55,"Rank averaging",3,0,0,92.3701957344153,1.98031769192439,44.2857142857143,22.2233559801486,93.3995433789954,1.32057841783241
"307",0.6,"Rank averaging",5,0,0,92.222709578376,0.593164852906093,44.2857142857143,22.2233559801486,93.2557077625571,1.30443442739436
"1441",0.6,"Rank averaging",7,2,0,92.0752234223368,3.16664739773656,44.2857142857143,22.2233559801486,93.1118721461187,3.92944727262114
"1547",0.65,"Rank averaging",0,3,2,92.0554854981085,0.356674290636344,44.2857142857143,22.2233559801486,93.0844748858447,1.06227457082363
"475",0.6,"Rank averaging",7,0,2,91.9112889961072,3.39848568665019,44.2857142857143,22.2233559801486,92.9452054794521,4.16514953301665
"1504",0.6,"Rank averaging",0,3,0,91.8882614178409,0.120183728366595,44.2857142857143,22.2233559801486,92.9132420091324,0.820114714252894
"1799",0.65,"Rank averaging",4,3,2,91.7177476835353,0.584635685086526,44.2857142857143,22.2233559801486,92.7374429223744,0.100092740715904
"412",0.6,"Rank averaging",6,0,2,91.570261527496,1.98884685974395,44.2857142857143,22.2233559801486,92.5936073059361,2.72510558594267
"1189",0.6,"Rank averaging",3,2,0,91.5571029113438,0.115531455010461,44.2857142857143,22.2233559801486,92.5753424657534,0.813657118077668
"999",0.55,"Rank averaging",0,2,0,91.4063271012665,2.22068514865757,44.2857142857143,22.2233559801486,92.4269406392694,2.9608078463382
"1546",0.6,"Rank averaging",0,3,2,91.3898788310763,0.120959107259288,44.2857142857143,22.2233559801486,92.4041095890411,0.57149726150694
"1693",0.6,"Rank averaging",3,3,0,91.3865891770382,0.589287958442651,44.2857142857143,22.2233559801486,92.3995433789954,0.0936351445406884
"1295",0.65,"Rank averaging",4,2,2,91.2325237129229,1.04753688402108,44.2857142857143,22.2233559801486,92.2465753424657,1.76292375583495
"1630",0.6,"Rank averaging",2,3,0,91.2193650967706,0.8257785207124,44.2857142857143,22.2233559801486,92.2283105022831,0.14852471203005
