"","Threshold","Ensembling","number_SVM","number_RDA","number_RF","mean_Accuracy","sd_Accuracy","mean_Sensitivity","sd_Sensitivity","mean_Specificity","sd_Specificity"
"494",0.5,"Rank averaging",1,1,0,61.438127090301,2.03381883551983,77.5,3.53553390593274,61.1892655367232,2.15327997208785
"434",0.65,"Rank averaging",0,1,0,60.7692307692308,1.08785658644084,77.5,3.53553390593274,60.5112994350282,1.19449111624169
"433",0.6,"Rank averaging",0,1,0,59.9429793300071,1.31039032864221,77.5,3.53553390593274,59.6723163841808,1.42220346950515
"432",0.55,"Rank averaging",0,1,0,59.7757552497396,1.07389976637246,77.5,3.53553390593274,59.5028248587571,1.18250625554361
"430",0.45,"Rank averaging",0,1,0,59.4445967432425,1.06924749301634,77.5,3.53553390593274,59.1666666666667,1.17851130197758
"429",0.4,"Rank averaging",0,1,0,59.280662317013,1.30108578192996,77.5,3.53553390593274,59,1.4142135623731
"493",0.45,"Rank averaging",1,1,0,58.956083118592,2.23309121094058,77.5,3.53553390593274,58.6694915254237,2.36101755752119
"428",0.35,"Rank averaging",0,1,0,58.6183453040189,1.29178123521771,77.5,3.53553390593274,58.3276836158192,1.40622365524104
"492",0.4,"Rank averaging",1,1,0,57.9658972531389,2.68746324205557,77.5,3.53553390593274,57.6638418079096,2.82443217118016
"491",0.35,"Rank averaging",1,1,0,55.9789462141565,2.65954960191881,77.5,3.53553390593274,55.6468926553672,2.80046244978401
"995",0.35,"Rank averaging",2,2,0,65.031525851198,4.93993892531333,67.5,10.6066017177982,65.0112994350282,5.16946991443725
"890",0.35,"Rank averaging",0,2,1,62.0510992927244,4.98180938551846,67.5,10.6066017177982,61.9858757062147,5.20542449653148
"1016",0.35,"Rank averaging",2,2,1,61.4249684741488,0.160503430786356,67.5,10.6066017177982,61.3446327683616,0.0159798142641036
"1039",0.45,"Rank averaging",2,2,2,78.9105762377323,8.95950310500637,55,7.07106781186548,79.274011299435,9.04057991991614
"116",0.5,"Rank averaging",2,0,0,96.1966116563408,0.648992133179597,42.5,24.7487373415292,96.9802259887006,0.914844366619884
"1525",0.6,"Rank averaging",3,3,1,96.1900323482647,0.287665569187129,42.5,24.7487373415292,96.9745762711864,0.035954582094228
